Taxon_deutsch,Taxon_wissensch
Gestreifter Gänsefuß,Chenopodium betaceum
,Choneiulus palmatus
Gemeine Florfliege,Chrysoperla carnea
Tintenfischpilz,Clathrus archeri
Mutterkorn,Claviceps purpurea
,Claytonia perfoliata
Italienische Waldrebe,Clematis viticella
Lärchenminiermotte,Coleophora laricella
Großblumige Leimsaat,Collomia grandiflora
Felsentaube,Columba livia
Feingerippte Körbchenmuschel,Corbicula fluminalis
Grobgerippte Körbchenmuschel,Corbicula fluminea
Koriander,Coriandrum sativum
Schmalflügliger Wanzensame,Corispermum pallasii
Gefleckte Weinbergschnecke,Cornu aspersum
Tatarischer Hartriegel,Cornus alba
Seidiger Hornstrauch,Cornus sericea
,Corticaria serrata
"Große Hasel, Lambert-Hasel",Corylus maxima
Platanen-Netzwanze,Corythucha ciliata
Schmuckkörbchen,Cosmos bipinnatus
Europäischer Perückenstrauch,Cotinus coggygria
Peking-Zwergmispel,Cotoneaster acutifolius
Sparrige Zwergmispel,Cotoneaster adpressus
Blasige Steinmispel,Cotoneaster bullatus
Teppich-Steinmispel,Cotoneaster dammeri
Diels' Steinmispel,Cotoneaster dielsianus
Sparrige Zwergmispel,Cotoneaster divaricatus
Fächer-Zwergmispel,Cotoneaster horizontalis
Vielblütige Zwergmispel,Cotoneaster multiflorus
Weidenblaettrige Steinmispel,Cotoneaster salicifolius
Krähenfuß-Laugenblume,Cotula coronopifolia
Nadelkraut,Crassula helmsii
Borsten-Pippau,Crepis setosa
Gold-Krokus,Crocus flavus
Tommasini-Krokus,Crocus tommasinianus
,Cruciata glabra
,Cryptophagus dentatus
,Cryptopleurum subtile
Graskarpfen,Ctenopharyngodon idella
Gronovius-Seide,Cuscuta gronovii
Chilenische Seide,Cuscuta suaveolens
Spitzkletten-Rispenkraut,Cyclachaena xanthiifolia
Kos-Alpenveilchen,Cyclamen coum
Efeublaettriges Alpenveilchen,Cyclamen hederifolium
,Cydalima perspectalis
Schwarzschwan,Cygnus atratus
Höckerschwan,Cygnus olor
Kleiner Gewächshaus-Tausendfüßer,Cylindroiulus britannicus
,Cylindroiulus truncorum
Mauer-Leinkraut,Cymbalaria muralis
Hundszahngras,Cynodon dactylon
Stacheliges Kammgras,Cynosurus echinatus
Liebesgrasartiges Zypergras,Cyperus eragrostis
Erdmandel,Cyperus esculentus
Damhirsch,Dama dama
Stechapfel,Datura stramonium
Garten-Ackerrittersporn,Delphinium ajacis
Spanischer Ackerrittersporn,Delphinium hispanicum
,Delta unguiculatum
Bart-Nelke,Dianthus barbatus
Riesen-Nelke,Dianthus giganteus
Feder-Nelke,Dianthus plumarius
Pazifische Herzblume,Dicentra formosa
Streckfuß,Dicranopalpus ramosus
Großer Höckerflohkrebs,Dikerogammarus villosus
Mauer-Doppelsame,Diplotaxis muralis
Schmalblättriger Doppelsame,Diplotaxis tenuifolia
Ruten-Doppelsame,Diplotaxis viminea
Schlanke Karde,Dipsacus strigosus
