Taxon,nEintraege,nEintraege_neu,RelAnstieg
Borago officinalis,,,
Borysthenia naticina,,,
Bostrychoplites cornutus,,,
Bostrychoplites zickeli,,,
Botrylloides leachii,,,
Botrylloides schlosseri,,,
Botrylloides violaceus,,,
Botryllus schlosseri,,,
Botryotinia squamosa,,,
Bougainvillea glabra,,,
Bougainvillia macloviana,,,
Bouteloua dactyloides,,,
Brachycaudus prunicola,,,
Brachychaeteuma bradeae,,,
Brachydesmus superus,,,
Brachymyrmex heeri,,,
Brachymyrmex patagonicus,,,
Brachynotus sexdentatus,,,
Brachypodium phoenicoides,,,
Brachystomella aspra,,,
Bradybaena similaris,,,
Bradysia impatiens,,,
Branchiura sowerbyi,,,
Branta canadensis,,,
Branta hutchinsii,,,
Branta leucopsis,,,
Brassica elongata,,,
Brassica elongata integrifolia,,,
Brassica juncea,,,
Brassica napus,,,
Brassica napus napus,,,
Brevitalitrus hortulanus,,,
Bromus carinatus,,,
Bromus catharticus,,,
Bromus diandrus,,,
Bromus japonicus,,,
Bromus japonicus japonicus,,,
Bromus pectinatus,,,
Bromus rigidus,,,
Bromus squarrosus,,,
Brotogeris pyrrhoptera,,,
Broussonetia papyrifera,,,
Bruchus pisorum,,,
Bruchus rufimanus,,,
Brunnera macrophylla,,,
Bryonia cretica subsp. dioica,,,
Bucanetes githagineus,,,
Bucephala albeola,,,
Bucephalus polymorphus,,,
Buddelundiella cataractae,,,
Buddleja alternifolia,,,
Buddleja davidii,,,
Bugula neritina,,,
Bugulina stolonifera,,,
Bunias erucago,,,
Bunias orientalis,,,
"Bursaphelenchus xylophilus (Steiner & Buhrer, 1934) Nickle, 1970",,,
Cabera leptographa,,,
Cabomba caroliniana,,,
Cacatua sulphurea,,,
Cacoecimorpha pronubana,,,
Cacyreus marshalli,,,
Caenoscelis subdeplanata,,,
Cairina moschata,,,
Calceolaria integrifolia,,,
Calendula officinalis,,,
Calepina irregularis,,,
Caligus lacustris,,,
Callinectes sapidus,,,
Callipepla californica,,,
Callistemon citrinus,,,
Callistephus chinensis,,,
Callithamnion tetragonum,,,
Callonetta leucophrys,,,
Callopistria maillardi,,,
Callosciurus erythraeus,,,
Callosciurus finlaysonii,,,
Callosobruchus chinensis,,,
Callosobruchus maculatus,,,
Calocedrus decurrens,,,
Caloptilia azaleella,,,
Calvatia tatrensis,,,
Calycanthus floridus,,,
Calyptospadix cerulea,,,
Calystegia lucana,,,
Calystegia pulchra,,,
Calystegia silvatica,,,
Camarosporidiella elongata,,,
Camassia quamash,,,
Cambarincola mesochoreus,,,
Camellia japonica,,,
Cameraria ohridella,,,
Campanula medium,,,
Campanula poscharskyana,,,
Campanula rhomboidalis,,,
Campsis radicans,,,
Campylaea illyrica,,,
Campylaea planospira,,,
Campylopus introflexus,,,
Campylopus pyriformis,,,
Canna indica,,,
Cannabis sativa,,,
Cannabis sativa sativa,,,
Capartogramma crucicula,,,
Capra hircus,,,
Capra ibex,,,
Caprella mutica,,,
Capreolus capreolus,,,
Capsicum annuum,,,
Caragana arborescens,,,
Carassius auratus,,,
Carausius morosus,,,
Carcinops pumilio,,,
Cardamine corymbosa,,,
Cardinalis cardinalis,,,
Cardiophorus taylori,,,
Cardiospermum grandiflorum,,,
Carduelis carduelis,,,
Carduus nutans leiophyllus,,,
Carex crawfordii,,,
Carex morrowii,,,
Carex vulpinoidea,,,
Carlina acanthifolia,,,
Carpelimus zealandicus,,,
Carpobrotus chilensis,,,
Carpobrotus edulis,,,
Carpophilus dimidiatus,,,
Carpophilus hemipterus,,,
Carpophilus marginellus,,,
Carpophilus quadrisignatus,,,
Carthamus tinctorius,,,
Cartodere bifasciata,,,
Cartodere grouvellei,,,
Cartodere nodifer,,,
Cartodere satelles,,,
Cartodere subfasciata,,,
Carya cordiformis,,,
Carya ovata,,,
Caryedon serratus,,,
Caryoborus chiriquensis,,,
Caspiobdella fadejewi,,,
Castor canadensis,,,
Catalpa bignonioides,,,
Catalpa ovata,,,
Catapodium rigidum,,,
Catapodium rigidum rigidum,,,
Catharanthus roseus,,,
Catharosia pygmaea,,,
Catreus wallichii,,,
Caulophilus latinosus,,,
Cedrus atlantica,,,
Cedrus deodara,,,
Celastrus orbiculatus,,,
Celosia argentea,,,
Celtis occidentalis,,,
Cenchrus americanus,,,
Cenchrus setaceus,,,
Centaurea calcitrapa,,,
Centaurea diffusa,,,
Centaurea nigrescens,,,
Centaurea nigrescens nigrescens,,,
Centaurea nigrescens subsp. vochinensis (W.D.J.Koch) Nyman,,,
Centaurea nigrescens transalpina,,,
Centaurea scabiosa fritschii,,,
Centaurea solstitialis,,,
Centaurea solstitialis solstitialis,,,
Centaurea stoebe subsp. australis (A.Kern.) Greuter,,,
Centaurea trichocephala,,,
Centaurea varnensis,,,
Centranthus ruber,,,
Centranthus ruber ruber,,,
Cephalaria gigantea,,,
Cephalaria transylvanica,,,
Cephalcia alashanica,,,
Cephalotaxus fortunei,,,
Ceramium cimbricum,,,
Ceramium circinatum,,,
Cerastium arvense subsp. arvense x tomentosum,,,
Cerastium tomentosum,,,
Cerataphis lataniae,,,
Ceratina cucurbitina,,,
Ceratitis capitata,,,
Ceratocephala orthoceras,,,
Ceratodon purpureus,,,
Ceratostigma plumbaginoides,,,
Cercidiphyllum japonicum,,,
Cercopagis pengoi,,,
Cercyon castaneipennis,,,
Cercyon laminatus,,,
Cereus pedunculatus,,,
Ceriagrion cerinorubellum,,,
Cerinomyces pallidus,,,
Cernuella cisalpina,,,
Cernuella neglecta,,,
Cervus nippon,,,
Cestrum elegans,,,
Chaenomeles japonica,,,
Chaenomeles speciosa,,,
Chaenostoma cordatum,,,
Chaenotetrastichus semiflavus,,,
Chaetanaphothrips orchidii,,,
Chaetoceros lorenzianus,,,
Chaetoceros peruvianus,,,
Chaitophorus populifolii,,,
Chalcophaps indica,,,
Chalinula loosanoffi,,,
Chamaecyparis lawsoniana,,,
Chamaecyparis pisifera,,,
Chamaecytisus hirsutus,,,
Chamaemelum nobile,,,
Channa argus,,,
Chara connivens,,,
Charpentieria itala,,,
Chasmanthium latifolium,,,
Chattonella marina,,,
Chattonella marina antiqua,,,
Chattonella sp.,,,
Cheiracanthium mildei,,,
Chelicorophium curvispinum,,,
Chelicorophium robustum,,,
Chelicorophium sowinskyi,,,
Chelone obliqua,,,
Chelopistes meleagridis,,,
Chelydra serpentina,,,
Chen caerulescens,,,
Chen canagica,,,
Chen rossii,,,
Chenia leptophylla,,,
Chenonetta jubata,,,
Chenopodiastrum simplex,,,
Chenopodium berlandieri,,,
Chenopodium capitatum,,,
Chenopodium desiccatum,,,
Chenopodium hircinum,,,
Chenopodium lobodontum,,,
Chenopodium rubrum,,,
Chenopodium strictum,,,
Cherax destructor,,,
Cherax quadricarinatus,,,
Cherax tenuimanus,,,
Chiasmia aestimaria,,,
Chilocorus circumdatus,,,
Chilostoma cingulatum,,,
Chilostoma cingulatum baldense,,,
Chimonanthus praecox,,,
Chloephaga picta,,,
Chloris chloris,,,
Chlorophyllum agaricoides,,,
Chlorophytum comosum,,,
Choanotaenia infundibulum,,,
Choneiulus palmatus,,,
Chorda filum,,,
Chromaphis juglandicola,,,
Chrysemys picta,,,
Chrysodeixis chalcites,,,
Chrysodeixis eriosoma,,,
Chrysojasminum odoratissimum,,,
Chrysolophus amherstiae,,,
Chrysolophus pictus,,,
Chrysomphalus aonidum,,,
Chrysomphalus dictyospermi,,,
Chrysomya albiceps,,,
Chrysoperla carnea,,,
Chymomyza amoena,,,
Ciborinia camelliae,,,
Cichorium endivia,,,
Cicurina japonica,,,
Cinara curvipes,,,
Cinnamomum camphora,,,
Cirsium hybridum,,,
Citrullus lanatus,,,
Citrus aurantium,,,
Citrus limon,,,
Citrus reticulata,,,
Citrus trifoliata,,,
Civettictis civetta,,,
Clambus simsoni,,,
Clarkia amoena,,,
Clarkia unguiculata,,,
Clathrus archeri,,,
Clathrus ruber,,,
Claviceps purpurea,,,
Claviceps purpurea var. spartinae,,,
Claviceps spartinae,,,
Claytonia perfoliata,,,
Claytonia perfoliata perfoliata,,,
Claytonia sibirica,,,
Cleidodiscus robustus,,,
Clematis montana,,,
Clematis serratifolia,,,
Clematis tangutica,,,
Clematis viticella,,,
Cleome houtteana,,,
Cleome spinosa,,,
Clepsis peritana,,,
Clerodendrum trichotomum,,,
Clethra alnifolia,,,
Clethra arborea,,,
Clivia nobilis,,,
Clonorchis sinensis,,,
Clytiomya continua,,,
Cnephasia longana,,,
Cnephasia pasiuana,,,
Coccinonectria pachysandricola,,,
Coccus hesperidum,,,
Codium fragile,,,
Codium fragile fragile,,,
Coelostemma fusca,,,
Coenosia attenuata,,,
Coffea arabica,,,
Coleophora laricella,,,
Coleosoma floridanum,,,
Coleotechnites piceaella,,,
Coleus scutellarioides,,,
Colinus virginianus,,,
Colletotrichum dematium,,,
Colletotrichum gloeosporioides,,,
Collomia grandiflora,,,
Colobopyga kewensis,,,
Coloeus monedula,,,
Colombian datura virus,,,
Colpocephalum turbinatum,,,
Colpomenia peregrina,,,
Columba livia,,,
Columba oenas,,,
Columba palumbus,,,
Commelina benghalensis,,,
Compsopogon caeruleus,,,
Compsopogon coeruleus,,,
Congeria leucophaeta leucophaeta,,,
Congeria leucophaeta leucophaeta,,,
Coniophora prasinoides,,,
Conocybe intrusa,,,
Contarinia pseudotsugae,,,
Contarinia quinquenotata,,,
Conuropsis carolinensis,,,
Corambe obscura,,,
Corbicula fluminalis,,,
Corbicula fluminea,,,
Corcyra cephalonica,,,
Cordioniscus stebbingi,,,
Cordylophora caspia,,,
Coregonus clupeaformis,,,
Coregonus maraenoides,,,
Coregonus oxyrinchus,,,
Corella eumyota,,,
Coreopsis grandiflora,,,
Coreopsis lanceolata,,,
Coreopsis tinctoria,,,
Coreopsis verticillata,,,
Corethron pennatum,,,
Coriandrum sativum,,,
Corispermum americanum rydbergii,,,
Corispermum hyssopifolium,,,
Corispermum intermedium,,,
Corispermum marschallii,,,
Corispermum pallasii,,,
Cornu aspersum,,,
Cornus alba,,,
Cornus alba subsp. alba,,,
Cornus canadensis,,,
Cornus sericea,,,
Corophium sextonae,,,
Cortaderia jubata,,,
Cortaderia selloana,,,
Corticaria fenestralis,,,
Corticaria ferruginea,,,
Corticaria fulva,,,
Corticaria pubescens,,,
Corticaria serrata,,,
Corvus albus,,,
Corvus splendens,,,
Corydalis bracteata,,,
Corydalis cheilanthifolia,,,
Corylus maxima,,,
Corythucha ciliata,,,
Coscinodiscus wailesii,,,
Coscoroba coscoroba,,,
Cosmos bipinnatus,,,
Cothurnia anomala,,,
Cotinus coggygria,,,
Cotoneaster acuminatus,,,
Cotoneaster acutifolius,,,
Cotoneaster adpressus,,,
Cotoneaster affinis,,,
Cotoneaster ambiguus,,,
Cotoneaster bullatus,,,
Cotoneaster dammeri,,,
Cotoneaster dielsianus,,,
Cotoneaster divaricatus,,,
Cotoneaster hjelmqvistii,,,
Cotoneaster horizontalis,,,
Cotoneaster microphyllus,,,
Cotoneaster moupinensis,,,
Cotoneaster multiflorus,,,
Cotoneaster nitens,,,
Cotoneaster roseus,,,
Cotoneaster rotundifolius,,,
Cotoneaster salicifolius,,,
Cotoneaster simonsii,,,
Cotoneaster suecicus,,,
Cotoneaster watereri,,,
Cotoneaster zabelii,,,
Cotula coronopifolia,,,
Coturnix coturnix,,,
Crambe cordifolia,,,
Crangonyx pseudogracilis,,,
Craspedacusta sowerbii,,,
Crassostrea angulata,,,
Crassostrea virginica,,,
Crassula helmsii,,,
Crassula ovata,,,
Crassula peduncularis,,,
Crataegus chlorosarca,,,
Crataegus crus-galli,,,
Crataegus intricata,,,
Crataegus pedicellata,,,
Crataegus persimilis,,,
Crataegus submollis,,,
Crataerina melbae,,,
Crematogaster scutellaris,,,
Crenidorsum aroidephagus,,,
Crepidotus cinnabarinus,,,
Crepidula fornicata,,,
Crepis nicaeensis Balb.,,,
Crepis setosa,,,
Crocosmia masoniorum,,,
Crocus flavus,,,
Crocus hybridus,,,
Crocus sativus,,,
Crocus tommasinianus,,,
Cronartium ribicola,,,
Crossopriza lyoni,,,
Cruciata glabra,,,
Cryphonectria parasitica,,,
Cryptamorpha desjardinsi,,,
Cryptococcus fagisuga,,,
Cryptolaemus montrouzieri,,,
Cryptolestes ferrugineus,,,
Cryptolestes pusillus,,,
Cryptolestes spartii,,,
Cryptolestes turcicus,,,
Cryptomeria japonica,,,
Cryptophagus dentatus,,,
Cryptophagus distinguendus,,,
Cryptophagus saginatus,,,
Cryptophilus obliteratus,,,
Cryptopleurum subtile,,,
Cryptops anomalans,,,
Cryptorchestia cavimana,,,
Cryptostroma corticale,,,
Cryptotermes brevis,,,
Ctenarytaina eucalypti,,,
Ctenolepisma calvum,,,
Ctenopharyngodon idella,,,
Cuclotogaster heterographus,,,
Cucumis melo,,,
Cucumis sativus,,,
Cucurbita maxima,,,
Cucurbita pepo,,,
Cucurbita pepo subsp. ovifera,,,
Culaea inconstans,,,
Cumminsiella mirabilissima,,,
Cuphea ignea,,,
Cuphea viscosissima,,,
Cupressatia siskiyou,,,
Cuscuta campestris,,,
Cuscuta gronovii,,,
Cuscuta monogyna,,,
Cuscuta pentagona,,,
Cuscuta scandens,,,
Cuscuta suaveolens,,,
Cyanopica cyanus,,,
Cyathus stercoreus,,,
Cyclachaena xanthiifolia,,,
Cyclamen coum,,,
Cyclamen hederifolium,,,
Cyclopterus lumpus,,,
Cycloptilum antillarum,,,
Cyclorhipidion pelliculosum,,,
Cyclospermum leptophyllum,,,
Cydalima perspectalis,,,
Cygnus atratus,,,
Cygnus buccinator,,,
Cygnus cygnus,,,
Cygnus melancoryphus,,,
Cygnus olor,,,
Cylindrocladium buxicola,,,
Cylindroiulus britannicus,,,
Cylindroiulus parisiorum,,,
Cylindroiulus truncorum,,,
Cylindropuntia imbricata,,,
Cymbalaria muralis,,,
Cymbalaria muralis muralis,,,
Cynaeus angustus,,,
Cynodon dactylon,,,
Cynoglossum amabile,,,
Cynops pyrrhogaster,,,
Cynosurus echinatus,,,
Cyperus congestus,,,
Cyperus dactylotes,,,
Cyperus eragrostis,,,
Cyperus esculentus,,,
Cyperus exaltatus,,,
Cyperus involucratus,,,
Cyperus rigens rigens,,,
Cypretta dubiosa,,,
Cypretta globula,,,
Cypretta turgida,,,
Cypripedium reginae,,,
Cyrtomium fortunei,,,
Cystoderma tricholomoides,,,
Cytisophyllum sessilifolium,,,
Cytisus striatus,,,
Dacnusa sibirica,,,
Dactylispa pallidipennis,,,
Dactylosternum abdominale,,,
Dahlia pinnata,,,
Dahlia x hortensis,,,
Daktulosphaira vitifoliae,,,
Dama dama,,,
Daphnia ambigua,,,
Daphnia parvula,,,
Dasineura gleditchiae,,,
Dasineura oxycoccana,,,
Dasya baillouviana,,,
Dasypus novemcinctus,,,
Dasysiphonia japonica,,,
Datura innoxia,,,
Datura quercifolia,,,
Datura stramonium,,,
Datura wrightii,,,
Delosperma cooperi,,,
Delphinium ajacis,,,
Delphinium grandiflorum,,,
Delphinium hispanicum,,,
Delta unguiculatum,,,
Dendrobaena hortensis,,,
Dendrobaena veneta,,,
Dendrocoelum romanodanubiale,,,
Dendrocygna autumnalis,,,
Dendrocygna bicolor,,,
Dendrocygna viduata,,,
Dennstaedtia punctilobula,,,
Dermestes ater,,,
Dermestes frischi,,,
Dermestes peruvianus,,,
Deroceras klemmi,,,
Deroceras panormitanum,,,
Descolea alba,,,
Descolea antarctica,,,
Descolea maculata,,,
Desmarestia viridis,,,
Desmometopa microps,,,
Detonula pumila,,,
Devaleraea ramentacea,,,
Diabrotica virgifera virgifera,,,
Diadumene cincta,,,
Diadumene lineata,,,
Dianthus barbatus,,,
Dianthus giganteus,,,
Dianthus plumarius,,,
Diaphanosoma chankensis,,,
Diaphanosoma orghidani,,,
Diaporthe oncostoma,,,
Diaspidiotus perniciosus,,,
Diaspis barrancorum,,,
Diaspis bromeliae,,,
Diaspis echinocacti,,,
Dicentra eximia,,,
Dicentra formosa,,,
Dicksonia antarctica,,,
Dicranocentrus silvestrii,,,
Dicranopalpus ramosus,,,
Dictyota dichotoma,,,
Didemnum vexillum,,,
Didymodon umbrosus,,,
Dienerella filum,,,
Digitalis ferruginea,,,
Digitalis lanata,,,
Digitaria radicosa,,,
Dikerogammarus bispinosus,,,
