Taxon,Laengengrad,Breitengrad,Zeitpunkt,Aufenthaltsw,Datenbank,Jahr
Impatiens glandulifera,12.375,49.725,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.45833,49.725,1960 - 1987,1,sMon,1987
Impatiens glandulifera,7.458333,49.325,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,11.125,49.325,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,10.95833,49.275,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,10.95833,49.225,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,11.04167,49.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.125,49.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.04167,49.225,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.125,49.225,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.20833,49.275,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,7.541667,49.175,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,11.04167,49.175,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.125,49.175,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.79167,49.025,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.875,49.025,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.04167,49.075,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.04167,49.025,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,13.125,49.025,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.20833,49.025,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.875,48.975,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.95833,48.975,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.875,48.925,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.95833,48.925,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.04167,48.975,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.125,48.975,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.125,48.925,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.20833,48.975,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,13.20833,48.925,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.875,48.875,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.95833,48.875,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.95833,48.825,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.04167,48.875,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,13.125,48.875,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,13.04167,48.825,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.125,48.825,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.375,48.825,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.95833,48.775,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,13.125,48.775,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,13.04167,48.725,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,13.20833,48.775,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.29167,48.775,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.29167,48.725,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.375,48.775,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.45833,48.775,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.375,48.725,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.45833,48.725,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.54167,48.725,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.54167,48.625,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.79167,48.675,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.79167,48.625,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.875,48.675,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.95833,48.675,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.875,48.625,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.95833,48.625,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.04167,48.675,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,13.125,48.675,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,13.04167,48.625,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.125,48.625,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,13.20833,48.625,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,13.375,48.675,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,13.54167,48.675,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,13.54167,48.625,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,13.625,48.625,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,11.45833,48.575,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.375,48.525,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,11.45833,48.525,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.54167,48.575,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.625,48.575,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.54167,48.525,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.625,48.525,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.875,48.575,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,13.04167,48.575,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,13.625,48.575,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.45833,48.475,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.375,48.425,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.45833,48.425,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.54167,48.475,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.625,48.475,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.54167,48.425,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.625,48.425,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.70833,48.475,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.70833,48.425,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.79167,48.425,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.04167,48.425,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,11.125,48.425,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.20833,48.425,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,11.29167,48.425,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,11.375,48.475,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,11.45833,48.475,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,11.375,48.425,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,11.45833,48.425,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.54167,48.475,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.625,48.475,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.54167,48.425,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.625,48.425,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.70833,48.475,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.79167,48.475,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,11.70833,48.425,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.79167,48.425,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.875,48.475,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,11.95833,48.475,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,11.875,48.425,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.95833,48.425,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.04167,48.425,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.125,48.425,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.20833,48.425,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.29167,48.425,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.29167,48.475,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,13.20833,48.425,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,13.29167,48.425,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.375,48.475,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.45833,48.475,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,13.375,48.425,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.45833,48.425,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.20833,48.325,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.29167,48.325,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.375,48.375,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.45833,48.375,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.375,48.325,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.45833,48.325,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.54167,48.375,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.625,48.375,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.54167,48.325,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.625,48.325,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.70833,48.375,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.79167,48.375,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.70833,48.325,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.79167,48.325,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.04167,48.375,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.125,48.375,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.04167,48.325,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.125,48.325,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.20833,48.375,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,11.29167,48.375,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.20833,48.325,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.29167,48.325,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.375,48.375,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.45833,48.375,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.375,48.325,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.45833,48.325,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.54167,48.375,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.625,48.375,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.54167,48.325,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.625,48.325,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.70833,48.375,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.79167,48.375,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.70833,48.325,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.79167,48.325,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.875,48.375,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.95833,48.375,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.875,48.325,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.95833,48.325,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.04167,48.375,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.125,48.375,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.04167,48.325,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.125,48.325,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.20833,48.375,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.29167,48.375,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.20833,48.325,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.29167,48.325,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,13.29167,48.375,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.29167,48.325,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.375,48.375,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.45833,48.375,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.375,48.325,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.20833,48.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.29167,48.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.20833,48.225,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.29167,48.225,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.375,48.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.45833,48.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.375,48.225,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.45833,48.225,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.54167,48.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.625,48.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.54167,48.225,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.625,48.225,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.70833,48.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.79167,48.275,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,10.70833,48.225,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.04167,48.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.125,48.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.20833,48.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.29167,48.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.375,48.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.45833,48.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.54167,48.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.625,48.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.70833,48.275,1960 - 1987,1,sMon,1987
