TaxonName,TaxonUsageID,MTB_Q,Longitude,Latitude,Timestep,Period,OP,OP_sd
Impatiens glandulifera,3063,11221,9.375,54.875,1,1960 - 1987,0.0396,0.001
Impatiens glandulifera,3063,11222,9.458333,54.875,1,1960 - 1987,0.0746,0.0018
Impatiens glandulifera,3063,11223,9.375,54.825,1,1960 - 1987,0.068,0.0017
Impatiens glandulifera,3063,11224,9.458333,54.825,1,1960 - 1987,0.0965,0.0023
Impatiens glandulifera,3063,11231,9.541667,54.875,1,1960 - 1987,0.0871,0.0021
Impatiens glandulifera,3063,11232,9.625,54.875,1,1960 - 1987,0.1006,0.0024
Impatiens glandulifera,3063,11233,9.541667,54.825,1,1960 - 1987,0.0856,0.0021
Impatiens glandulifera,3063,11234,9.625,54.825,1,1960 - 1987,0.0816,0.002
Impatiens glandulifera,3063,11241,9.708333,54.875,1,1960 - 1987,0.1142,0.0027
Impatiens glandulifera,3063,11242,9.791667,54.875,1,1960 - 1987,0.1668,0.0038
Impatiens glandulifera,3063,11243,9.708333,54.825,1,1960 - 1987,0.0997,0.0024
Impatiens glandulifera,3063,11244,9.791667,54.825,1,1960 - 1987,0.0847,0.002
Impatiens glandulifera,3063,12164,8.458333,54.725,1,1960 - 1987,5e-04,0
Impatiens glandulifera,3063,12173,8.541667,54.725,1,1960 - 1987,0.0017,0
Impatiens glandulifera,3063,12181,8.708333,54.775,1,1960 - 1987,1e-04,0
Impatiens glandulifera,3063,12182,8.791667,54.775,1,1960 - 1987,0.0018,1e-04
