Taxon_deutsch,Taxon_wissensch
Hanf,Cannabis sativa
,Cannabis sativa spontanea
Kultur-Hanf,Cannabis sativa sativa
Haschisch,Cannabis sativa indica
Alpen-Steinbock,Capra ibex
Reh,Capreolus capreolus
Gewöhnlicher Erbsenstrauch,Caragana arborescens
Goldfisch,Carassius auratus
Giebel,Carassius gibelio
,Cyprinus carpio × Carassius auratus
,Carcinops pumilio
Glatte Nickende Distel,Carduus nutans leiophyllus
Fuchsseggenähnliche Segge,Carex vulpinoidea
,Cartodere bifasciata
Schwarzbrauner Rippenmoderkäfer,Cartodere nodifer
Gemeines Steifgras,Catapodium rigidum
Amerikanischer Zürgelbaum,Celtis occidentalis
Stern-Flockenblume,Centaurea calcitrapa
,Puccinia calcitrapae centaureae
Sparrige Flockenblume,Centaurea diffusa
Schwärzliche Flockenblume,Centaurea nigrescens
,Centaurea scabiosa fritschii
Sonnenwend-Flockenblume,Centaurea solstitialis
Südliche Flockenblume,Centaurea australis
Rote Spornblume,Centranthus ruber
Riesen-Schuppenkopf,Cephalaria gigantea
Filziges Hornkraut,Cerastium tomentosum
,Cerastium arvense × tomentosum
,Ceratina cucurbitina
,Cercyon laminatus
Rotmündige Heideschnecke,Cernuella neglecta
Sikahirsch,Cervus nippon
,Cervus nippon yesoensis
japanische Quitte,Chaenomeles japonica
Chinesische Zierquitte,Chaenomeles speciosa
Lawson-Scheinzypresse,Chamaecyparis lawsoniana
Römische Kamille,Chamaemelum nobile
Italienische Schließmundschnecke,Charpentieria itala
Hausdornfinger,Cheiracanthium mildei
,Chelicorophium curvispinum
,Chelicorophium robustum
Berlandier-Gänsefuß,Chenopodium berlandieri
Gestreifter Gänsefuß,Chenopodium strictum
Gestreifter Gänsefuß,Chenopodium betaceum
,Choneiulus palmatus
Gemeine Florfliege,Chrysoperla carnea
Tintenfischpilz,Clathrus archeri
Mutterkorn,Claviceps purpurea
,Claytonia perfoliata
Italienische Waldrebe,Clematis viticella
,Clematis × jackmanii
,Coleophora laricella
Großblumige Leimsaat,Collomia grandiflora
Felsentaube,Columba livia
Feingerippte Körbchenmuschel,Corbicula fluminalis
Grobgerippte Körbchenmuschel,Corbicula fluminea
Koriander,Coriandrum sativum
Schmalflügliger Wanzensame,Corispermum pallasii
,Corispermum pallasii membranaceum
Gefleckte Weinbergschnecke,Cornu aspersum
Tatarischer Hartriegel,Cornus alba
Weißer Hartriegel,Cornus sericea
,Corticaria serrata
"Große Hasel, Lambert-Hasel",Corylus maxima
,Corylus avellana × maxima
Platanen-Netzwanze,Corythucha ciliata
Schmuckkörbchen,Cosmos bipinnatus
Europäischer Perückenstrauch,Cotinus coggygria
Peking-Zwergmispel,Cotoneaster acutifolius
Sparrige Zwergmispel,Cotoneaster adpressus
Runzelblatt-Zwergmispel,Cotoneaster bullatus
Kriech-Zwergmispel,Cotoneaster dammeri
Diels-Zwergmispel,Cotoneaster dielsianus
Sparrige Zwergmispel,Cotoneaster divaricatus
Fächer-Zwergmispel,Cotoneaster horizontalis
Vielblütige Zwergmispel,Cotoneaster multiflorus
Weidenblatt- Zwergmispel,Cotoneaster salicifolius
,Cotoneaster floccosus
Krähenfuß-Laugenblume,Cotula coronopifolia
Nadelkraut,Crassula helmsii
Nizza-Pippau,Crepis nicaeensis
